"prec","total_votes","trump","clinton","latino_reg","total_reg","county_id","county_name","pct_latino","pct_trump","pct_clinton"
"4013_tuthill",5583,3462,1741,980,7905,"4013","maricopa",0.123972169512966,0.62009672219237,0.311839512806735
"4013_twinbuttes",1727,437,1055,495,3311,"4013","maricopa",0.149501661129568,0.253039953676896,0.610885929357267
"4013_valencia",276,118,141,199,543,"4013","maricopa",0.366482504604052,0.427536231884058,0.510869565217391
"4013_valenciagroves",4420,2667,1272,603,6801,"4013","maricopa",0.0886634318482576,0.603393665158371,0.287782805429864
"4013_vanness",1289,464,688,285,2227,"4013","maricopa",0.127974854063763,0.359968968192397,0.533747090768037
"4013_varneypark",2374,1212,949,552,4391,"4013","maricopa",0.12571168298793,0.510530749789385,0.399747262005055
"4013_velero",1053,460,500,184,1646,"4013","maricopa",0.111786148238153,0.43684710351377,0.474833808167141
"4013_verano",2260,941,1102,396,3478,"4013","maricopa",0.113858539390454,0.416371681415929,0.487610619469027
"4013_vermont",1738,645,984,1135,3040,"4013","maricopa",0.373355263157895,0.371116225546605,0.566168009205984
"4013_victory",1254,381,734,597,2693,"4013","maricopa",0.221685852209432,0.303827751196172,0.585326953748006
"4013_villadepaz",1378,586,690,654,2389,"4013","maricopa",0.273754709083298,0.425253991291727,0.500725689404935
"4013_villarita",1545,752,699,147,2325,"4013","maricopa",0.0632258064516129,0.486731391585761,0.452427184466019
"4013_vineyard",1788,533,1112,532,3113,"4013","maricopa",0.17089624156762,0.298098434004474,0.621923937360179
"4013_virginia",1957,759,1015,322,3184,"4013","maricopa",0.101130653266332,0.387838528359734,0.518650996423097
"4013_vista",2285,1096,1000,339,3488,"4013","maricopa",0.0971903669724771,0.47964989059081,0.437636761487965
"4013_vistaverde",323,233,76,18,425,"4013","maricopa",0.0423529411764706,0.721362229102167,0.235294117647059
"4013_vistancia",3983,2354,1441,240,5117,"4013","maricopa",0.0469024819230018,0.59101180015064,0.361787597288476
"4013_vogel",2730,1249,1224,1261,4974,"4013","maricopa",0.2535182951347,0.457509157509157,0.448351648351648
"4013_wackerpark",2025,1158,704,327,3017,"4013","maricopa",0.108385813722241,0.571851851851852,0.347654320987654
"4013_mesquite",4210,2524,1381,859,6566,"4013","maricopa",0.130825464514164,0.599524940617577,0.328028503562945
"4013_waggoner",2868,1172,1492,259,3843,"4013","maricopa",0.0673952641165756,0.408647140864714,0.520223152022315
"4013_wahalla",2636,1395,1039,278,4023,"4013","maricopa",0.0691026597066866,0.529210925644917,0.394157814871017
"4013_warner",2628,710,1751,2678,5451,"4013","maricopa",0.491286002568336,0.270167427701674,0.666286149162861
"4013_waterworks",2394,983,1164,456,3815,"4013","maricopa",0.119528178243775,0.410609857978279,0.486215538847118
"4013_watson",710,503,157,197,1002,"4013","maricopa",0.196606786427146,0.708450704225352,0.22112676056338
"4013_weldon",891,217,601,875,1966,"4013","maricopa",0.445066124109868,0.24354657687991,0.674523007856341
"4013_wendy",1246,498,621,219,1939,"4013","maricopa",0.112944816915936,0.399678972712681,0.498394863563403
"4013_westplaza",1717,500,1081,1272,4116,"4013","maricopa",0.309037900874636,0.29120559114735,0.629586488060571
"4013_westpoint",4272,2433,1542,868,7091,"4013","maricopa",0.122408687068115,0.569522471910112,0.360955056179775
"4013_westwing",5224,3290,1618,484,7149,"4013","maricopa",0.0677017764722339,0.629785604900459,0.309724349157734
"4013_westar",2171,1271,793,269,3022,"4013","maricopa",0.0890138980807412,0.585444495624136,0.365269461077844
"4013_westbrook",2810,1733,920,159,3545,"4013","maricopa",0.044851904090268,0.616725978647687,0.327402135231317
"4013_westernstar",2314,850,1261,331,3420,"4013","maricopa",0.0967836257309942,0.36732929991357,0.544943820224719
"4013_westgreenpark",1769,888,755,616,2996,"4013","maricopa",0.205607476635514,0.501978518937253,0.426794799321651
"4013_westridge",1523,317,1121,1798,3477,"4013","maricopa",0.517112453264308,0.208141825344714,0.736047275114905
"4013_westwardho",2285,352,1726,964,4504,"4013","maricopa",0.214031971580817,0.154048140043764,0.755361050328228
"4013_westwood",1775,935,660,462,3354,"4013","maricopa",0.137745974955277,0.526760563380282,0.371830985915493
